No,Key Action,Transformative_Action,App Name,Value_Chain,Service,Comparison Tech,all_tech,Tech,Tech2,Tech3,Tech4,Origin_city,Origin_country,Country_adoption,info additional,all_donors,Donor1,Donor2,Donor3,Donor 4,Donor5,OThers donors,Org1,Org2,Org3,,User_payment,Ownership,Description,all_levels,Level1,Level2,Level3,Level4,Level5,#,Pro_poor focus?,website,Twitter,Information ,Link ,Issues,Donors double chekc
1,"1.Increase productivity, employment and value addition in food systems","1. Facilitate access to productive resources, finance and services",ACRE AFRICA,FINTECH,Insurance,,"GIS/RemoteSensing,Mobile - Advisory,USSD",GIS/RemoteSensing,Mobile - Advisory,USSD,,Nairobi,Kenya,,,"Syngenta Foundation,Global Index Insurance Facility,Innovate UK,Grameen Credit Agricole Microcredit Foundations,The Lundin Foundation",Syngenta Foundation,Global Index Insurance Facility,Innovate UK,Grameen Credit Agricole Microcredit Foundations,The Lundin Foundation,https://acreafrica.com/driving-smallholder-farmers-sustainability-through-digital-solutions/,Agriculture and Climate Risk Enterprise Ltd,,,,,Private,"Farmers access the insurance through village change agents (champions) who train them on risk management solutions among them, risk transfer through insurance. The farmers purchase the insurance by simply dialing a USSD code and remitting premiums through mobile money payment platforms (MPESA). This product distribution and deployment process has greatly succeeded due to the high penetration of access to mobile technology in rural areas.","Individual,Organizations,Business,,",Individual,Organizations,Business,,,,Yes,https://acreafrica.com/,,"ACRE is a service provider that links farmers to insurance products so that they can confidently invest in their farms. ACRE automates weather risk modeling, payments and communication through SMS and USSD platforms, claims calculations, and disbursement through mobile money.",http://documents1.worldbank.org/curated/en/404601562827298352/pdf/Creating-an-Innovation-to-Connect-a-Million-Kenyan-Farmers-to-Disruptive-Agricultural-Technologies.pdf,,
2,"1.Increase productivity, employment and value addition in food systems","1. Facilitate access to productive resources, finance and services",Agri_Wallet,AGTECH,Financial services,,"Blockchain,,",Blockchain,,,,Nairobi,Kenya,NaN,,"Mastercard Foundation,IDH FArmit,FMO,World Bank,",Mastercard Foundation,IDH FArmit,FMO,World Bank,,,Dodore  Kenya,,,,,Startup,"Agri-wallet is a free digital wallet accessed by farmers in Kenya via a mobile phone application. When farmers earn revenue, they have two options. First, they can decide to be paid in fiat currency (through M-Pesa) or partially in digital tokens. Tokens are saved in their Agri-wallet. By saving tokens, farmers are allowed to get a short-term loan from Rabobank. Agri-Wallet: Agri-Wallet is a mobile app that allows farmers to remotely and securely receive payment for their produce and save money on business expenses. The majority of smallholder farmers do not have enough funding, both due to delayed payments for goods and a lack of access to credit. This is because banks are hesitant to lend to poor farmers that do not have a strong credit history or collateral. Through the blockchain financial ecosystem, Agri-Wallet allows farmers access to small loans and guarantees payment the first week of every month, which has been a major boon to Kenyan farmers. Agri-Wallet has already seen extensive success in Kenya, with approximately 4,000 farmers, 14 suppliers and 25 buyers using the app only one year after its large-scale release.","Individual,Business,,,",Individual,Business,,,,,Yes,https://agri-wallet.com/,https://twitter.com/agri_wallet?lang=en,"Agri-wallet is a free digital wallet accessed by farmers in Kenya via a mobile phone application. When farmers earn revenue, they have two options. First, they can decide to be paid in fiat currency (through M-Pesa) or partially in digital tokens. Tokens are saved in their Agri-wallet. By saving tokens, farmers are allowed to get a short-term loan from Rabobank",,https://www.idhsustainabletrade.com/uploaded/2020/03/SDM-Case-Report-Agri-wallet-Kenya.pdf,
3,"4.Enhance the resilience of people, communities and ecosystems",15. Address and adapt to climate change,Agriculture Intelligence Platform,AGTECH,Digital Advisory,"Big data analytics, satellite data, ground station data, doppler radar, Agriculture Intelligence Platform","Big data,GIS/RemoteSensing,Platform data-sharing",Big data,GIS/RemoteSensing,Platform data-sharing,,Colorado,United States,"We have global coverage for the agricultural earth, which includes nearly all countries including south, southeast, and eastern Asia. ","Government, Private investors, Self-funded","Elixir Capital Managment,Crowfunding,,,",Elixir Capital Managment,Crowfunding,,,,,aWhere,,,,,Startup,"Awhere is a developer of a weather software that analyzes data and provides insights to help farmers plan their farming activities better. We utilize an ecosystem of big data technologies (Hadoop, Spark, R, Python, PostgreSQL) to mine this derived weather information and augment it with other sets we acquire from partners. Our philosophy is to use academic studies as a jumping off point for our internal analyses, and then use big data tools to explore the data sets and refine our models. We constantly innovate in our domain by leveraging analytical techniques that were developed for other uses but can be applied to our work.","Individual,Community,Business,Government,",Individual,Community,Business,Government,,,Yes,www.awhere.com,,,,,
4,"1.Increase productivity, employment and value addition in food systems","1. Facilitate access to productive resources, finance and services",AgriDigital ,CONSUMER  & MARKETS,Logistic managment,,"Blockchain,Management Software,",Blockchain,Management Software,,,Sydey,Australia,NaN,,"Square Peg Capital,,,,",Square Peg Capital,,,,,,Full Profile Pty Ltda,,,,,Startup,"AgriDigital is an integrated commodity management solution for the global grains industry. They combine high-end technical and industry expertise with beautiful design and intuitive workflows to provide seamless solutions to complex commodity, logistical, risk, and customer management issues. The company software platforms designed to assist in the transaction and settlement of agricultural commodities and to manage supply chain risk. Through applied blockchain technologies, distributed ledgers, and smart contracts, AgriDigital provides real-time payment to growers, increased efficiencies for brokers, the flexible supply chain for buyers and financiers, and paddock to plate transparency for consumers.","Business,,,,",Business,,,,,,No ,https://www.agridigital.io/,,Development and implementation of the AgriDigital commodity management platform and blockchain application.,,,
5,"4.Enhance the resilience of people, communities and ecosystems",16. Strengthen ecosystem resilience,Agritask,AGTECH,Farming managment ,,"Precision Farming ,,",Precision Farming ,,,,Tel Aviv,Israel,NaN,,"The InsuResilience Investment Fund,EIT Food ,Barn Investments,,",The InsuResilience Investment Fund,EIT Food ,Barn Investments,,,,Agritask,,,,,Startup,"Developer of an agricultural management platform intended to make precision agronomy and agriculture technologies immediately accessible to farmers. The company's platform integrates multiple technologies into a farmers intelligence ecosystem and correlates between various data layers of ground data, forecast data and activities that are performed or planned for specific crops, for deeper agricultural insights, thus enabling agriculture stakeholders to manage risk and optimize production, without the anxiety and high cost of managing multiple technological systems and without changing their current work habits for better decision making and planning.","Individual,Business,,,",Individual,Business,,,,,Yes,www.agritask.com,https://twitter.com/agritask,,,,
6,"1.Increase productivity, employment and value addition in food systems",4. Build producers’ knowledge and develop their capacities,Arifu,AGTECH,Digital Advisory,,"SMS,Social Media,Chatbot",SMS,Social Media,Chatbot,,Nairobi,Kenya,,,"Syngenta Foundation,Technoserve,Digifarm,Safaricom,KCB Bank ",Syngenta Foundation,Technoserve,Digifarm,Safaricom,KCB Bank ,https://www.arifu.com/,Arifu,,,,,Private,"Arifu is a digital content and interactive learning platform which is personalised and free for its learners. Arifu's chatbot is omnichannel and allows both smart and feature phone users to learn via SMS, WhatsApp, and Facebook Messenger. Our vision is to provide easy access to information and opportunity within everyone's reach. Our purpose is to place opportunity and information within the reach of everyone. Our chatbot is FREE to our learners and available via any mobile chat application including SMS, Facebook Messenger and Whatsapp.","Individual,Organizations,,,",Individual,Organizations,,,,,Yes,https://www.arifu.com/,,Arifuis a social enterprise making it possible for the least served people to access the knowledge they need on financial services from the organizations they trust on any mobile phone. Arifu provides both an education technology platform and a content digitization service.,http://documents1.worldbank.org/curated/en/404601562827298352/pdf/Creating-an-Innovation-to-Connect-a-Million-Kenyan-Farmers-to-Disruptive-Agricultural-Technologies.pdf,,
7,"1.Increase productivity, employment and value addition in food systems","1. Facilitate access to productive resources, finance and services",Astral,AGTECH,Digital Advisory,,"UAV / Drones,Data Analytics,",UAV / Drones,Data Analytics,,,Nairobi,Kenya,,,"AIR cargo,World Bank,,,",AIR cargo,World Bank,,,,,Aerial Astral Solutions,,,,,Startup,"Astral Aerial is a drone operator. Offers up to date, problem-specific data to farmers using drones (a drone covers 1000 acres per flight, with sensors to detect crop health at an affordable price)","Individual,,Business,,",Individual,,Business,,,,Yes,https://astral-aerial.com/,https://twitter.com/AstralAerial?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,"Astral Aerial is a drone operator. Offers up to date, problem-specific data to farmers using drones (a drone covers 1000 acres per flight, with sensors to detect crop health at an affordable price)",http://documents1.worldbank.org/curated/en/404601562827298352/pdf/Creating-an-Innovation-to-Connect-a-Million-Kenyan-Farmers-to-Disruptive-Agricultural-Technologies.pdf,,
8,3.Improve livelihoods and foster inclusive economic growth ,10. Promote secure tenure rights,Cadasta Platform,RESOURCES,Digital Advisory,"Cadasta Platform, at its core, is built on top of a robust API (Application Program Interface, a set of routines, protocols, and tools for building software applications).  This allows integration into existing tools such as GeoODK, QGIS and Field Papers. This same API allows the Cadasta platform to be extended for specific use cases and integrated with other existing software. By using a flexible API based approach, our tools can more easily fit into existing workflows.","GIS/RemoteSensing,Data Analytics,",GIS/RemoteSensing,Data Analytics,,,,Indonesia,"Indonesia, Nigeria, India, Bangladesh, Kenya, Tanzania, Haiti, Nepal, Myanmar, Kosovo, USA",Cadasta Foundation,",,,,",,,,,,,Cadasta Foundation,,,,,NGO,"Cadasta Foundation harnesses cutting edge technology to expedite the documentation of land and resource rights to build stronger, more sustainable and resilient communities. Cadasta develops and promotes the use of simple digital tools and technology to help partners efficiently document, analyze, store, and share land and resource rights information. Our fit for purpose digital data collection forms allow partners to collect data quickly and easily using GPS-enabled smartphones and tablets in the field. No internet connection is needed to collect data. Once an internet connection is available, the smartphones and tablets can upload data onto our secure cloud-based platform. Our flexible platform can store, organize, and analyze many types of data including: GPS coordinates, footage from drones, digital maps, video interviews, photographs, paper records, tax receipts and other documentation -- creating an evidence base and advocacy case for vulnerable communities’ claims to the land.  ","Individual,Organizations,Community,,",Individual,Organizations,Community,,,,Yes,Cadasta.org,,,,,1
9,"4.Enhance the resilience of people, communities and ecosystems",13. Prevent and protect against shocks: enhance resilience,CocoaCloud project,AGTECH,Digital Advisory,,"Website ,Big data,Data Analytics",Website ,Big data,Data Analytics,,,Cote d'Ivoire,"Ghana, Cote d'ivore",World Business Council for Sustainable Development ,"Opus Insights ,OLAM Kellog,,,",Opus Insights ,OLAM Kellog,,,,,World Business Council for Sustainable Development ,Opus Insights ,OLAM Kellog,Barry Callbout,,NGO,"The CocoaCloud project seeks to fill this knowledge gap through a five-year pre-competitive data platform. Data is collected from ground sensors disseminated all across the region. CocoaCloud sends local weather forecasts and farm management alerts based on agronomic algorithms and location data. The platform also allows exchanges of knowledge and feedback between farmers and extension services. Extension training and support, along with capacity-building workshops, optimize platform’s use by farmers.Improvements in extension services, whether applied to agri-inputs, general agronomy or early warning systems for extreme weather, are increasing the productivity and climate resilience in the West African cocoa landscape. NGOs and donors also benefit from this project since it enhances the impact of existing and planned programs that address disaster risk and health issues","Individual,Community,Business,,",Individual,Community,Business,,,,Yes,https://www.foodandlandusecoalition.org/wp-content/uploads/2019/09/Critical-Transitions-8-Harnessing-the-Digital-Revolution.pdf,,"World Business Council for Sustainable Development and Outputs Insights BV, seeks to fill this knowledge gap with a five-year pre-competitive data platform. Data is collected from ground sensors across the region. CocoaCloud sends local weather forecasts and farm management alerts based on agronomic algorithms and location data. The platform also allows exchanges of knowledge and feedback between farmers and extension services. Today, CocoaCloud supports 7,500 cocoa farmers, community members and extension workers in Ghana’s Western Region. The target is to make data available for more than 1 million smallholder farmers in Ghana and Cote d’Ivoire by 2024.",https://www.foodandlandusecoalition.org/wp-content/uploads/2019/09/Critical-Transitions-8-Harnessing-the-Digital-Revolution.pdf,https://cocoacloud.org,1
10,"1.Increase productivity, employment and value addition in food systems","1. Facilitate access to productive resources, finance and services",Conencterra,LIVESTOCK TECH,Farming managment ,,"AI & Machine learning,,",AI & Machine learning,,,,Amsterdam,Netherlands,NaN,,"Systema_VC,Cibus Fund,Breed Reply,,",Systema_VC,Cibus Fund,Breed Reply,,,,Connecterra B.V.,,,,,Startup,"We have developed Ida, to connect farmers and the value chain to identify issues on farm, recommend solutions and support farmers to make the transition to sustainable farming. Ida uses sensors and Artificial Intelligence to turn raw data into insight-driven efficiencies for the benefit of people, companies, and the natural habitats in which they operate.. They use machine learning to turn raw data into insight-driven efficiencies for the benefit of people, companies, and the natural habitats in which they operate","Individual,Business,,,",Individual,Business,,,,,No ,connecterra.io,,,https://www.connecterra.io/,,
