,Country_x,ISO3,SFS index 2000-2003,SFS index 2004-2006,SFS index 2007-2009,SFS index 2010-2012,SFS index 2013-2016,CGIAR,Latitude,Longitude,Region Code,Region_n,Sub-region Code,Sub-region Name,No ,BCFN,food_loss_waste,sustainable_ag,nutrition_challenge,compare_countries
0,Algeria,DZA,0.1633,0.1719,0.214,0.2903,0.3123,0.3097,28.16474462,2.63351219,2,Africa,15,Northern Africa,,,,,,False
1,Argentina,ARG,0.5416,0.5508,0.5697,0.5748,0.5728,0.57,-34.98567234,-65.12225892,19,Americas,419,Latin America and the Caribbean,13.0,71.5,83.4,66.9,64.1,True
2,Australia,AUS,0.6761,0.6739,0.6822,0.7026,0.6906,0.6887,-25.40546125,134.2181189,9,Oceania,53,Australia and New Zealand,11.0,71.8,77.5,73.4,64.6,True
3,Austria,AUT,0.666,0.6604,0.6865,0.7061,0.6982,0.6931,47.59086187,14.13920086,150,Europe,155,Western Europe,9.0,73.3,69.1,79.9,70.7,True
4,Azerbaijan,AZE,0.5005,0.4922,0.5089,0.5161,0.5125,0.506,40.42670781,47.80669468,142,Asia,145,Western Asia,,,,,,False
5,Bangladesh,BGD,0.2653,0.2612,0.2794,0.2894,0.2909,0.2861,23.88207427,90.24107264,142,Asia,34,Southern Asia,,,,,,False
6,Belarus,BLR,0.5414,0.5477,0.5651,0.5874,0.5797,0.5748,53.53965016,28.04932937,150,Europe,151,Eastern Europe,,,,,,False
7,Belgium,BEL,0.5493,0.5514,0.5637,0.5782,0.5738,0.5711,50.64206011,4.658786236,150,Europe,155,Western Europe,35.0,66.2,55.1,74.6,68.8,True
8,Benin,BEN,0.4235,0.418,0.4413,0.4438,0.4357,0.4363,9.642665015,2.342864021,2,Africa,202,Sub-Saharan Africa,,,,,,False
9,Bolivia,BOL,0.4553,0.4475,0.4653,0.4663,0.4622,0.462,-16.71483757,-64.66829843,19,Americas,419,Latin America and the Caribbean,,,,,,False
10,Botswana,BWA,0.4975,0.4823,0.5163,0.5253,0.5024,0.5105,-22.17991766,23.81673035,2,Africa,202,Sub-Saharan Africa,,,,,,False
11,Brazil,BRA,0.573,0.5685,0.5901,0.593,0.5877,0.5827,-10.77518961,-53.09141767,19,Americas,419,Latin America and the Caribbean,40.0,65.5,69.1,64.2,63.2,True
12,Bulgaria,BGR,0.5772,0.5815,0.5935,0.5998,0.5958,0.5895,42.76069057,25.23572028,150,Europe,151,Eastern Europe,66.0,54.5,52.4,53.7,57.3,True
13,Burkina Faso,BFA,0.3741,0.3595,0.3785,0.3846,0.3645,0.3738,12.27790144,-1.738649343,2,Africa,202,Sub-Saharan Africa,33.0,66.4,71.4,67.5,60.4,True
14,Cambodia,KHM,0.359,0.3615,0.3879,0.3955,0.3859,0.3903,12.71583138,104.9221723,142,Asia,35,South-eastern Asia,,,,,,False
15,Cameroon,CMR,0.4749,0.4748,0.4995,0.5135,0.5078,0.5041,5.68036831,12.74068837,2,Africa,202,Sub-Saharan Africa,59.0,59.7,49.8,72.2,57.0,True
16,Canada,CAN,,,0.7242,0.7353,0.7268,0.7193,61.4126317,-98.23039804,19,Americas,21,Northern America,3.0,75.3,82.1,73.0,70.9,True
17,Chile,CHL,0.4914,0.5053,0.5314,0.5655,0.5632,0.5625,-37.68386885,-71.33321859,19,Americas,419,Latin America and the Caribbean,,,,,,False
18,Colombia,COL,0.6001,0.5753,0.596,0.6067,0.6042,0.5992,3.897367041,-73.07080696,19,Americas,419,Latin America and the Caribbean,16.0,71.2,73.0,76.5,64.0,True
19,Costa Rica,CRI,0.5553,0.5556,0.5699,0.5844,0.5807,0.5793,9.960735487,-84.18254176,19,Americas,419,Latin America and the Caribbean,,,,,,False
20,Cote d'Ivoire,CIV,,,0.5083,0.5096,0.5104,0.5041,7.630087005,-5.552402136,2,Africa,202,Sub-Saharan Africa,36.0,65.9,70.3,73.9,53.5,True
21,Czech Republic,CZE,0.5762,0.5746,0.5741,0.5918,0.5935,0.5891,49.74240068,15.34943448,150,Europe,151,Eastern Europe,5.0,74.0,80.4,76.1,65.6,True
22,Denmark,DNK,0.6523,0.6477,0.6337,0.6456,0.6389,0.6303,56.06439188,9.942213684,150,Europe,154,Northern Europe,7.0,73.5,67.8,79.6,73.1,True
23,Dominican Republic,DOM,0.5263,0.5183,0.526,0.5568,0.5535,0.5499,18.89453409,-70.49429315,19,Americas,419,Latin America and the Caribbean,,,,,,False
24,Ecuador,ECU,0.5554,0.5584,0.5589,0.5548,0.5479,0.5427,-1.464036749,-78.05190165,19,Americas,419,Latin America and the Caribbean,,,,,,False
25,Egypt,EGY,0.2846,0.2906,0.3116,0.3146,0.3231,0.3215,26.55281781,29.78562814,2,Africa,15,Northern Africa,48.0,63.0,67.7,66.6,54.8,True
26,El Salvador,SLV,0.5033,0.4997,0.5217,0.5301,0.5294,0.5278,13.72764125,-88.86315324,19,Americas,419,Latin America and the Caribbean,,,,,,False
27,Ethiopia,ETH,0.2829,0.2825,0.3447,0.36,0.3614,0.3535,8.633664665,39.61587345,2,Africa,202,Sub-Saharan Africa,27.0,68.5,81.8,66.6,57.1,True
28,Finland,FIN,0.6024,0.6067,0.6135,0.6235,0.6139,0.6083,64.52173893,26.29452799,150,Europe,154,Northern Europe,4.0,74.1,80.2,70.4,71.5,True
29,France,FRA,0.6654,0.6582,0.6744,0.6887,0.6805,0.6749,46.6984015,2.350055968,150,Europe,155,Western Europe,1.0,76.1,85.8,71.0,71.4,True
30,Germany,DEU,0.6409,0.6422,0.6662,0.6735,0.6669,0.6654,51.08227882,10.37515859,150,Europe,155,Western Europe,17.0,71.2,69.5,78.0,66.0,True
31,Ghana,GHA,,0.4829,0.5016,0.5135,0.5087,0.5081,7.956118608,-1.209564758,2,Africa,202,Sub-Saharan Africa,62.0,57.6,65.2,57.4,50.2,True
32,Greece,GRC,0.5433,0.5399,0.5439,0.5609,0.5558,0.5509,39.99547189,22.15714659,150,Europe,39,Southern Europe,43.0,64.5,60.6,65.1,67.8,True
33,Guatemala,GTM,0.4694,0.4797,0.4774,0.4949,0.47,0.47,15.699081,-90.35850945,19,Americas,419,Latin America and the Caribbean,,,,,,False
34,Guinea,GIN,0.1487,0.2059,0.2882,0.2982,0.3116,0.3061,10.43642262,-10.95068301,2,Africa,202,Sub-Saharan Africa,,,,,,False
35,Honduras,HND,0.4541,0.457,0.4789,0.5,0.5051,0.4983,14.80908243,-86.63495948,19,Americas,419,Latin America and the Caribbean,,,,,,False
36,Hungary,HUN,0.5447,0.5443,0.559,0.5603,0.5691,0.5634,47.16567815,19.42172591,150,Europe,151,Eastern Europe,10.0,72.5,78.3,76.7,62.4,True
37,India,IND,0.325,0.3161,0.3062,0.301,0.2975,0.2983,22.37137039,79.32792202,142,Asia,34,Southern Asia,34.0,66.4,81.1,65.5,52.5,True
38,Indonesia,IDN,0.4689,0.466,0.4825,0.4911,0.4866,0.4824,-2.21433486,117.2844335,142,Asia,35,South-eastern Asia,60.0,59.1,61.4,61.1,54.9,True
39,Italy,ITA,0.5817,0.5781,0.5882,0.6092,0.6059,0.6014,43.76610159,11.68396919,150,Europe,39,Southern Europe,28.0,68.1,70.6,70.2,63.5,True
40,Japan,JPN,0.5948,0.5859,0.5974,0.6044,0.6017,0.5959,37.63209801,138.0812256,142,Asia,30,Eastern Asia,6.0,73.8,71.6,73.4,76.5,True
41,Jordan,JOR,0.1948,0.1945,0.2722,0.2685,0.2609,0.2589,31.25223934,36.78497101,142,Asia,145,Western Asia,50.0,62.8,65.4,64.0,58.8,True
42,Kazakhstan,KAZ,0.5983,0.5964,0.6027,0.6122,0.6071,0.6043,48.16011678,67.30440515,142,Asia,143,Central Asia,,,,,,False
43,Kenya,KEN,0.4272,0.4089,0.4214,0.4291,0.4253,0.4256,0.529620946,37.85784174,2,Africa,202,Sub-Saharan Africa,44.0,64.4,76.3,66.6,50.2,True
44,Kuwait,KWT,,,,0.5779,0.5743,0.5725,29.29832118,47.53304536,142,Asia,145,Western Asia,,,,,,False
45,Laos,LAO,0.4216,0.4087,0.4255,0.429,0.4199,0.4219,18.50518622,103.7662533,142,Asia,35,South-eastern Asia,,,,,,False
46,Madagascar,MDG,0.3297,0.2921,0.3257,0.3095,0.2576,0.3017,-19.37969027,46.70406219,2,Africa,202,Sub-Saharan Africa,,,,,,False
